County,State,Age.Percent 65 and Older,Education.Bachelor's Degree or Higher,Education.High School or Higher,Ethnicities.Hispanic or Latino,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino,Housing.Households,Housing.Persons per Household,Income.Median Houseold Income,Income.Per Capita Income,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Percent Female,Population.2020 Population,Population.2010 Population,Population.Population per Square Mile,Employment.Firms.Total,Employment.Firms.Women-Owned,Employment.Firms.Men-Owned,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Veteran-Owned,Employment.Firms.Nonveteran-Owned,county_names_with_casing,county_fips,total_votes_2020,total_votes_2016,total_votes_2012,total_votes_2008,total_votes_2004,total_votes_2000,prop_favored_dem_2020,prop_favored_dem_2016,prop_favored_dem_2012,prop_favored_dem_2008,prop_favored_dem_2004,prop_favored_dem_2000,winner_2020
ADAMS COUNTY,ID,29.9,21.2,90.2,3.6,94.3,91.6,1757,2.29,48856,28026,1.2,1363.06,3.5,81.6,48.6,4379,3976,2.9,321,84,108,0,279,0,269,Adams County,16003.0,2586,2183,2060,2320,2063,1909,-0.5220417633410673,-0.5226752175904719,-0.4058252427184466,-0.3400862068965517,-0.4425593795443528,-0.5971712938711367,Republican
ADAMS COUNTY,IL,20.7,25.0,92.5,1.8,92.8,91.4,27112,2.38,52993,30343,1.4,855.2,2.1,88.9,50.7,65737,67103,78.5,5074,1251,2617,269,4546,477,4158,Adams County,17001.0,33527,31951,30607,30823,31477,30109,-0.4649088794106242,-0.4730368376576632,-0.351814944293789,-0.2244103429257372,-0.3279537440035582,-0.1705137998605068,Republican
ADAMS COUNTY,IN,15.9,15.5,84.7,4.5,97.8,93.6,12481,2.79,52504,23316,0.9,339.03,14.8,87.7,50.0,35809,34387,101.4,3500,859,2081,100,3230,201,3134,Adams County,18001.0,14209,13090,13011,13513,13340,12590,-0.5243155746357943,-0.5227654698242933,-0.3943586196295442,-0.2572337748834455,-0.4664167916041979,-0.3796664019062747,Republican
ADAMS COUNTY,MS,19.6,17.4,77.9,10.1,44.4,35.5,11237,2.56,29936,18386,8.0,462.41,9.1,92.3,48.0,29538,32297,69.8,3323,1127,1793,1097,2111,417,2724,Adams County,28001.0,13759,13836,15447,15696,14376,14879,0.1614216149429463,0.1360942468921654,0.1791933708810772,0.1564092762487257,0.0943934335002782,0.0923449156529336,Democrat
ADAMS COUNTY,ND,28.5,25.6,94.5,1.6,93.7,92.2,1035,2.16,56681,33458,1.9,987.62,3.8,92.4,50.5,2200,2343,2.4,333,134,130,0,312,0,308,Adams County,38001.0,1269,1218,1286,1271,1291,1160,-0.5697399527186762,-0.5689655172413793,-0.4587869362363919,-0.2777340676632573,-0.4353214562354764,-0.4655172413793104,Republican
ADAMS COUNTY,NE,18.9,24.3,90.0,11.0,94.7,85.1,12712,2.35,53023,28729,6.2,563.27,8.6,84.9,50.2,31205,31364,55.7,2921,825,1379,199,2567,321,2360,Adams County,31001.0,14602,13513,12670,13210,13286,12438,-0.402136693603616,-0.4429068304595575,-0.3357537490134175,-0.2700227100681302,-0.4096040945356013,-0.3598649300530631,Republican
ADAMS COUNTY,OH,18.5,13.2,80.2,1.0,97.1,96.2,10673,2.57,39079,22366,0.5,583.87,1.7,89.3,50.4,27477,28550,48.9,2248,669,1272,72,2134,207,1935,Adams County,39001.0,12145,11359,11089,11388,11999,10235,-0.6351585014409222,-0.5575314728409191,-0.2605284516187213,-0.2409553916403231,-0.2811067588965747,-0.2734733756717147,Republican
ADAMS COUNTY,PA,21.1,22.3,88.8,7.3,95.1,88.7,39345,2.5,67253,31590,4.1,518.67,6.3,89.1,50.8,103852,101407,195.5,7450,2403,4222,201,6988,850,6145,Adams County,42001.0,56540,47489,42457,44489,42228,33433,-0.3416342412451362,-0.3622733685695634,-0.2750076548036836,-0.195913596619389,-0.342971488112153,-0.2741602608201477,Republican
ADAMS COUNTY,WA,11.3,14.3,66.9,64.7,88.5,32.5,5973,3.24,48294,20248,24.5,1924.98,55.0,86.7,48.9,20613,18728,9.7,1163,364,613,390,717,107,986,Adams County,53001.0,5862,4644,4793,4858,5127,4974,-0.3570453770044353,-0.384151593453919,-0.340287919883163,-0.3437628653766982,-0.4751316559391457,-0.4089264173703256,Republican
ADAMS COUNTY,WI,30.2,13.9,87.5,4.2,93.8,90.3,9062,2.09,46369,27241,2.9,645.65,4.9,87.9,46.8,20654,20875,32.3,1155,341,697,42,1089,216,846,Adams County,55001.0,11818,10164,10287,9986,10456,9116,-0.256642409883229,-0.2177292404565132,0.0872946437250899,0.1834568395754055,0.0532708492731446,0.0993856954804738,Republican
ADDISON COUNTY,VT,20.7,39.6,93.5,2.3,94.5,92.6,14584,2.32,68825,34741,4.8,766.33,6.0,86.7,50.1,37363,36821,48.0,4838,1390,2444,106,4537,375,4156,Addison County,50001.0,22611,19031,17910,19238,18579,17427,0.3768962009641325,0.3111765014975566,0.393858179787828,0.391672731053124,0.2190645352279455,0.1137889481838526,Democrat
AIKEN COUNTY,SC,19.9,26.4,88.0,5.9,70.7,65.8,67598,2.45,51399,28396,4.5,1071.03,6.4,88.0,51.7,168808,160099,149.5,12138,4430,6598,2491,9200,1750,9711,Aiken County,45003.0,85185,74851,70363,69770,59492,50782,-0.226730058108822,-0.2748126277538042,-0.2660489177550701,-0.2400458649849505,-0.3240435688832112,-0.3307077310858178,Republican
AITKIN COUNTY,MN,33.8,18.1,91.2,1.4,94.8,93.8,7681,2.03,49351,29275,1.2,1821.66,2.7,91.3,49.5,15697,16202,8.9,1445,274,700,0,1315,132,1187,Aitkin County,27001.0,10025,9231,9142,9410,9452,8260,-0.2644389027431421,-0.2580435489112773,-0.0132356158389848,0.0006376195536663132,-0.0242276766821836,0.0090799031476997,Republican
ALACHUA COUNTY,FL,14.6,43.3,92.6,10.5,69.9,60.6,97995,2.55,49689,28646,10.5,875.02,14.2,77.9,51.8,278468,247336,282.7,20110,7177,10330,4816,14333,2217,16761,Alachua County,12001.0,142604,128571,120418,125519,111328,85729,0.2716052845642479,0.2254474181580605,0.1735787008586755,0.2155211561596252,0.1324195171026156,0.154451819104387,Democrat
ALAMANCE COUNTY,NC,17.1,24.8,86.3,13.1,73.6,62.9,64439,2.46,49688,27312,7.9,423.94,12.6,85.9,52.5,171415,151131,356.5,10990,3804,5939,2283,8295,1203,9138,Alamance County,37001.0,86091,71157,67776,64353,54175,47091,-0.0839925195432739,-0.126227918546313,-0.137142941454202,-0.0923189284104858,-0.2328749423165666,-0.2515554989276082,Republican
ALAMEDA COUNTY,CA,14.3,47.4,88.4,22.3,49.3,30.6,577177,2.82,99406,47314,32.5,739.02,45.6,87.2,50.7,1682353,1510271,2043.6,150564,57305,76387,75026,69300,10213,134032,Alameda County,6001.0,770070,654266,595642,621029,560742,494336,0.6250730453075695,0.6402900349399174,0.6069115341094147,0.5950623883908803,0.5201572202545912,0.4523441545831176,Democrat
ALAMOSA COUNTY,CO,13.9,25.0,86.9,47.6,87.5,47.1,6162,2.44,37515,22131,9.1,722.64,30.1,82.1,50.1,16376,15445,21.4,1674,540,807,512,1043,80,1490,Alamosa County,8003.0,7808,6939,6715,6286,6269,5659,-0.0069159836065573,0.0206081567949272,0.1647058823529411,0.1409481387209673,-0.0258414420162705,-0.07103728573953,Republican
ALBANY COUNTY,NY,17.4,41.8,92.1,6.3,75.8,71.6,126540,2.29,66252,37635,10.9,522.8,13.2,84.9,51.6,314848,304204,581.9,23912,7125,14508,3223,19297,2019,20224,Albany County,36001.0,154727,139830,135766,147136,147199,141969,0.3127637710289735,0.2522134019881284,0.3223782095664599,0.2946321770334927,0.2299200402176645,0.2676147609689439,Democrat
ALBANY COUNTY,WY,12.2,51.8,95.9,9.7,90.3,81.9,15944,2.26,49322,29146,7.3,4273.84,10.8,67.4,48.2,37066,36299,8.5,3396,1250,1465,280,2870,229,2811,Albany County,56001.0,18744,17060,16300,17201,16624,14151,0.0273687580025607,-0.0417350527549824,-0.0250306748466258,0.0411603976512993,-0.113630895091434,-0.1939792240831036,Democrat
ALBEMARLE COUNTY,VA,19.3,55.1,92.1,5.8,81.8,76.9,41496,2.42,79880,44799,10.4,720.7,11.7,80.2,52.1,112395,98970,137.3,11062,3967,5716,1236,9370,1306,8936,Albemarle County,51003.0,64657,56726,53907,50984,43726,36846,0.3350294631671744,0.2483164686387194,0.1198360138757489,0.1807625921857837,0.0205598499748433,-0.0552570156869131,Democrat
ALCONA COUNTY,MI,36.1,16.9,89.3,1.6,96.8,95.3,4988,2.05,40484,25636,1.1,674.59,2.2,90.8,49.7,10167,10942,16.2,933,278,525,0,907,43,873,Alcona County,26001.0,7064,6198,6104,6420,6531,5997,-0.3830690826727067,-0.398354307841239,-0.180045871559633,-0.0791277258566978,-0.1103965702036441,-0.0760380190095047,Republican
ALCORN COUNTY,MS,18.8,17.1,81.3,3.2,85.5,82.7,14649,2.49,42086,23909,1.4,400.04,2.7,87.3,51.3,34740,37057,92.6,3200,1051,1556,265,2726,286,2538,Alcorn County,28003.0,15793,14783,14830,15019,14181,12638,-0.6354714113847907,-0.6179395251302171,-0.5124747134187458,-0.4444370464078833,-0.224243706367675,-0.1736825447064409,Republican
ALEXANDER COUNTY,IL,23.1,12.9,86.5,1.9,64.9,63.7,2154,2.85,36806,19519,0.3,235.51,0.8,89.8,51.4,5240,8238,35.0,523,276,154,202,295,86,411,Alexander County,17003.0,2618,2846,3501,3937,3873,4022,-0.1420932009167303,-0.0822206605762473,0.1365324193087689,0.1262382524765049,0.0477665892073327,0.1911984087518647,Republican
ALEXANDER COUNTY,NC,20.4,14.2,82.4,4.8,90.8,86.7,14169,2.53,48756,26688,3.3,259.99,6.0,90.3,49.0,36444,37198,143.1,2907,630,2028,99,2742,451,2326,Alexander County,37003.0,20236,18271,17196,17254,15600,13492,-0.5803024313105356,-0.5542115921405506,-0.4444056757385438,-0.3838530195896604,-0.4044871794871794,-0.376222946931515,Republican
ALEXANDRIA CITY,VA,11.3,63.1,93.0,16.7,62.2,51.9,70598,2.21,100939,62679,27.2,15.03,33.5,79.0,51.8,159467,139966,9314.3,17540,6882,9252,6304,10316,1777,14805,Alexandria city,51510.0,82521,75770,73411,70364,61515,55199,0.6264587195986475,0.5801372574897717,0.4352208797046764,0.4447160479790802,0.3458018369503373,0.264316382543162,Democrat
ALFALFA COUNTY,OK,20.3,21.8,85.2,6.0,87.4,83.1,1870,2.53,61852,27615,3.4,866.46,5.5,86.5,40.3,5699,5642,6.5,518,136,234,45,454,38,430,Alfalfa County,40003.0,2262,2258,2083,2434,2671,2507,-0.7718832891246684,-0.7604074402125774,-0.6908305328852617,-0.6622843056696794,-0.6480718831898165,-0.5197447147985641,Republican
ALGER COUNTY,MI,26.3,17.4,89.9,1.7,84.7,83.4,3007,2.7,45570,20851,1.0,915.07,1.5,84.5,44.7,8842,9601,10.5,806,243,323,62,674,52,646,Alger County,26003.0,5128,4518,4618,4750,4765,4366,-0.187402496099844,-0.2040725984949092,-0.02555218709398,0.0597894736842104,0.0161594963273872,-0.0162620247366009,Republican
ALLAMAKEE COUNTY,IA,23.5,17.8,88.3,7.1,96.1,90.0,5953,2.27,52216,27892,5.3,639.08,11.3,89.2,49.0,14061,14330,22.4,1300,492,594,0,1241,57,1181,Allamakee County,19005.0,7422,6923,6934,7059,7062,6462,-0.2921045540285637,-0.2415137945977177,0.0416786847418517,0.1425131038390707,-0.0114698385726423,-0.0609718353450944,Republican
ALLEGAN COUNTY,MI,17.0,22.6,90.9,7.5,94.9,88.1,43416,2.65,62965,29215,3.2,825.23,6.0,91.0,50.0,120502,111408,135.0,9835,2942,5366,523,9078,691,8681,Allegan County,26005.0,67094,55786,52619,55279,53907,44891,-0.252526306376129,-0.2891944215394543,-0.1960698606967065,-0.1066589482443604,-0.272079692804274,-0.2829520393842864,Republican
ALLEGANY COUNTY,MD,20.6,18.9,90.2,1.9,88.2,86.7,27399,2.31,45893,23607,1.9,424.16,4.0,84.6,47.9,68106,75087,177.0,4323,1373,2398,311,3738,417,3600,Allegany County,24001.0,30641,30654,29850,29742,29855,26371,-0.3827551320126627,-0.4369739675083186,-0.3157453936348409,-0.259296617577836,-0.2814938871210852,-0.1426567062303287,Republican
ALLEGANY COUNTY,NY,19.6,20.9,90.8,1.7,95.6,94.3,17948,2.33,48412,24857,2.5,1029.31,4.9,87.8,49.2,46456,48946,47.6,2710,920,1454,185,2427,244,2298,Allegany County,36003.0,20895,18692,16953,18368,19270,18689,-0.3870303900454654,-0.4088915043869035,-0.2071019878487583,-0.2176067073170731,-0.2855215360664244,-0.2728877949596019,Republican
ALLEGHANY COUNTY,NC,28.0,17.3,77.5,9.9,95.4,86.7,4920,2.21,37830,23267,5.8,235.06,7.6,92.0,50.4,10888,11155,47.5,1132,280,707,123,953,71,982,Alleghany County,37005.0,6076,5315,5067,5263,4827,4313,-0.5004937458854509,-0.4718720602069614,-0.3566212749161239,-0.2095762872886187,-0.1990884607416615,-0.1891954555993508,Republican
ALLEGHANY COUNTY,VA,25.5,15.0,86.0,1.6,92.8,91.4,6600,2.24,47673,27338,1.3,445.46,1.8,91.3,51.1,15223,16250,36.5,893,189,596,38,821,104,754,Alleghany County,51005.0,8203,7325,7173,7369,7195,5123,-0.4408143362184566,-0.3696928327645051,-0.0267670430782099,-0.0219839869724521,-0.1054899235580264,-0.1159476869022057,Republican
ALLEGHENY COUNTY,PA,19.3,41.6,94.6,2.3,79.9,78.1,541541,2.19,61043,38709,5.9,730.08,7.5,85.9,51.6,1250578,1223348,1675.6,96501,30671,56123,12104,80217,9916,81176,Allegheny County,42003.0,719733,650114,622081,651380,645469,582478,0.2038825508903996,0.1663354427069713,0.1457173583504398,0.1547575915748103,0.1502581843589699,0.1624130010060466,Democrat
ALLEN COUNTY,IN,14.9,28.5,89.4,7.7,79.6,73.1,145065,2.53,54857,29160,6.7,657.31,11.1,84.9,51.1,385410,355329,540.6,28567,9538,15557,4632,22737,2880,24199,Allen County,18003.0,169082,147137,146939,150324,129609,114320,-0.1117445972959866,-0.1940232572364531,-0.167259883352956,-0.0434395040046831,-0.2723807760263562,-0.2518369489153254,Republican
ALLEN COUNTY,KS,21.0,20.3,91.9,3.8,92.5,89.5,5372,2.26,45333,23734,1.3,500.3,2.4,86.1,50.8,12526,13371,26.7,1497,349,672,97,1352,55,1291,Allen County,20001.0,5892,5454,5310,5855,5873,5766,-0.4494229463679565,-0.4066740007334067,-0.2725047080979284,-0.2327924850555081,-0.3311765707474885,-0.2162677766215747,Republican
ALLEN COUNTY,KY,18.1,16.1,82.1,2.4,96.7,94.6,7605,2.72,44036,22294,1.9,344.34,6.4,89.8,50.4,20588,19956,58.0,1242,334,765,0,1201,104,1082,Allen County,21003.0,9363,8096,7100,7390,7163,6429,-0.634839260920645,-0.6320405138339921,-0.4754929577464789,-0.4376184032476319,-0.4577690911629205,-0.3834188831855654,Republican
ALLEN COUNTY,OH,18.1,18.9,90.3,3.3,83.2,80.6,40650,2.44,53131,26761,1.5,402.5,3.1,85.4,49.5,102206,106331,264.2,7252,2179,3945,616,6112,785,5877,Allen County,39003.0,48006,45894,48235,50263,49274,43795,-0.3950964462775486,-0.374624133873709,-0.2402612211050067,-0.2073095517577541,-0.326784916994764,-0.3345359059253339,Republican
ALLEN PARISH,LA,15.2,11.3,79.7,2.3,72.4,70.9,7925,2.69,46446,20964,4.4,761.85,9.9,83.6,43.5,22750,25764,33.8,1170,409,654,196,924,180,939,Allen Parish,22003.0,9810,9245,9307,9467,9124,8292,-0.5571865443425077,-0.5149810708491076,-0.4166756205006984,-0.3635787472272103,-0.147851819377466,-0.0145923781958514,Republican
ALLENDALE COUNTY,SC,20.9,9.2,79.8,3.7,24.9,22.3,3365,2.35,27185,16985,1.7,408.09,4.0,90.1,48.0,8039,10419,25.5,672,279,334,441,206,66,572,Allendale County,45005.0,3593,3592,4163,4024,3591,3340,0.5240745894795436,0.5417594654788419,0.5906797982224358,0.5173956262425448,0.4399888610414926,0.4104790419161676,Democrat
ALPENA COUNTY,MI,23.9,18.0,91.9,1.5,96.8,95.5,12752,2.19,43363,25957,1.3,571.86,3.0,86.7,50.6,28907,29598,51.8,2322,799,1078,37,2130,190,1787,Alpena County,26007.0,16969,14698,14014,15085,15211,14132,-0.2761506276150627,-0.2866376377738468,-0.0534465534465535,0.0384487901889294,-0.0169614095062783,0.0200962354939145,Republican
ALPINE COUNTY,CA,26.4,34.5,91.2,12.3,67.9,61.3,350,2.87,63750,36739,5.1,738.33,9.7,90.9,46.1,1204,1175,1.6,125,49,0,0,115,0,116,Alpine County,6003.0,741,602,653,692,699,586,0.3130904183535762,0.1943521594684385,0.2343032159264931,0.245664739884393,0.0886981402002861,-0.0273037542662115,Democrat
AMADOR COUNTY,CA,27.5,19.3,90.0,14.5,89.6,77.3,14594,2.38,62772,31987,6.0,594.58,10.6,87.7,45.6,40474,38091,64.1,2807,921,1383,259,2453,258,2363,Amador County,6005.0,22304,17734,17649,18810,16879,15464,-0.2435437589670014,-0.252678470734183,-0.1955351577993088,-0.1460925039872408,-0.2528585816695301,-0.1849456802897051,Republican
AMELIA COUNTY,VA,20.1,17.1,83.9,3.2,76.5,74.0,4954,2.59,57946,31688,1.2,355.27,3.8,89.8,50.7,13265,12690,35.7,893,335,444,159,695,69,778,Amelia County,51007.0,7894,7040,6915,6529,5397,4788,-0.3773752216873575,-0.3664772727272727,-0.2662328271872741,-0.2269872874865983,-0.3033166574022605,-0.2491645781119464,Republican
AMHERST COUNTY,VA,21.6,19.1,85.6,2.4,76.9,74.9,12160,2.52,52888,26712,1.8,473.93,2.8,87.4,51.4,31307,32353,68.3,2117,810,1094,397,1634,185,1819,Amherst County,51009.0,17005,15396,14970,14700,12695,11712,-0.3157306674507497,-0.3028059236165237,-0.1987975951903807,-0.1616326530612244,-0.2278062229224103,-0.1577868852459016,Republican
AMITE COUNTY,MS,24.1,12.6,81.9,1.3,58.6,57.9,5218,2.36,33981,21568,0.4,730.1,1.0,95.9,51.7,12720,13131,18.0,823,301,432,314,491,107,691,Amite County,28005.0,7196,7050,7706,7626,7117,6408,-0.2616731517509728,-0.2258156028368794,-0.1520892810796781,-0.1176239181746656,-0.1591962905718702,-0.1566791510611735,Republican
ANDERSON COUNTY,KS,21.5,18.1,91.0,2.1,96.0,94.1,3101,2.49,50213,24309,0.7,579.65,2.2,87.5,50.3,7836,8102,14.0,575,177,238,0,545,89,440,Anderson County,20003.0,3792,3350,3315,3626,3863,3478,-0.566191983122363,-0.5262686567164179,-0.4018099547511312,-0.327357970215113,-0.3119337302614549,-0.1889016676250718,Republican
ANDERSON COUNTY,KY,16.3,20.2,89.9,1.9,95.1,93.4,8694,2.57,55334,27250,1.1,201.83,2.2,84.3,51.0,23852,21421,106.1,1461,446,685,71,1331,214,1160,Anderson County,21005.0,13240,11422,10320,10552,9591,7967,-0.4765861027190333,-0.4909823148310279,-0.3398255813953488,-0.324393479909022,-0.3359399436972161,-0.251914145851638,Republican
ANDERSON COUNTY,SC,18.3,22.2,85.3,4.0,80.5,77.1,76798,2.55,50865,27552,3.1,715.43,4.5,86.3,51.9,203718,187126,261.6,15115,4881,8655,2363,12272,2099,11969,Anderson County,45007.0,96093,80483,72212,73787,64722,56681,-0.420384419260508,-0.4365518183964316,-0.3642607876807179,-0.3328228549744535,-0.3500818886931801,-0.2861805543303753,Republican
ANDERSON COUNTY,TN,20.3,23.3,87.0,3.2,91.6,88.9,30541,2.45,50392,28455,3.5,337.16,4.8,85.1,51.3,77123,75129,222.8,5799,1831,3175,266,5211,717,4618,Anderson County,47001.0,35570,29881,29659,31570,31682,28779,-0.3217036828788305,-0.3413205716006827,-0.2982568528945682,-0.2622426354133671,-0.177198409191339,-0.0393342367698669,Republican
ANDERSON COUNTY,TX,15.0,10.6,81.3,18.2,74.5,58.3,16677,2.66,43455,17280,5.9,1062.6,14.8,84.8,38.6,57922,58458,55.0,3107,1009,1602,722,2209,428,2471,Anderson County,48001.0,19227,16977,16212,16655,16301,15080,-0.5801737140479534,-0.5791364787653885,-0.5211571675302245,-0.4355448814169919,-0.4200355806392246,-0.3179045092838196,Republican
ANDREW COUNTY,MO,19.4,24.9,91.7,2.7,96.3,93.9,6763,2.56,58772,29338,1.2,432.7,2.4,92.1,50.5,18135,17291,40.0,1339,357,819,0,1299,125,1156,Andrew County,29003.0,9752,9140,8306,8790,8266,7274,-0.5028712059064807,-0.5054704595185995,-0.3380688658800866,-0.2200227531285551,-0.2499395112509073,-0.2009898267803134,Republican
ANDREWS COUNTY,TX,9.8,12.2,72.3,56.6,94.3,39.9,5573,3.22,76158,30673,15.2,1500.71,43.7,82.8,48.8,18610,14786,9.9,1324,400,695,469,726,143,1075,Andrews County,48003.0,5863,4943,4482,4629,4536,4024,-0.698106771277503,-0.6253287477240542,-0.6345381526104418,-0.6537049038669259,-0.6966490299823633,-0.5504473161033798,Republican
ANDROSCOGGIN COUNTY,ME,18.2,22.8,90.2,1.9,91.7,90.2,45630,2.29,53509,28956,3.5,467.93,10.4,84.3,51.0,111139,107702,230.2,7493,2451,3963,310,6794,661,6261,Androscoggin County,23001.0,59361,55601,52862,54850,55842,49245,-0.0278128737723421,-0.0938472329634359,0.1278233892020733,0.1521604375569736,0.1055119802299344,0.1279926896131587,Republican
ANGELINA COUNTY,TX,16.6,16.9,81.9,22.7,81.0,59.9,31035,2.72,50453,23147,8.5,797.78,18.5,83.4,51.2,86395,86771,108.8,6330,1922,3487,1358,4707,709,5020,Angelina County,48005.0,34574,29911,28406,29153,28364,26974,-0.4608376236478279,-0.4724014576577179,-0.4389565584735618,-0.3495352107844818,-0.3395148780143844,-0.2480536813227552,Republican
ANNE ARUNDEL COUNTY,MD,15.0,41.7,92.4,8.4,73.6,66.7,209814,2.64,100798,46629,8.4,414.9,11.4,85.2,50.5,588261,537656,1295.9,46997,17089,25348,9994,35336,5547,39219,Anne Arundel County,24003.0,309617,270081,260155,259619,239667,200657,0.1453473162003378,0.0222747990417689,-0.0007572408756318372,-0.0179763422553819,-0.1247856400756048,-0.0726862257484164,Democrat
ANOKA COUNTY,MN,14.5,30.5,94.0,4.9,83.8,79.7,128198,2.71,82175,36978,8.8,423.01,11.5,88.6,50.0,363887,330844,782.1,27369,8653,15229,2680,24081,2991,23013,Anoka County,27003.0,211132,185758,186465,182224,174066,145619,-0.0189881211753784,-0.0960335490261522,-0.0258279033598798,-0.0240418386162086,-0.0667965024760723,-0.008570310193038,Republican
ANSON COUNTY,NC,19.3,11.3,80.7,4.1,47.4,44.3,9521,2.42,40213,21635,2.9,531.45,5.3,89.4,48.7,22055,26948,50.7,1531,598,726,598,875,159,1288,Anson County,37007.0,11194,10545,11256,10733,9225,7985,0.0418081114882972,0.1283072546230441,0.2534648187633262,0.2095406689648746,0.1752845528455285,0.204257983719474,Democrat
